0 	1.25 	2.5 	5 	7.5 	10 	15 	20 	30 	40 	50 	60 	70 	80 	90 	100 	
0 	1.17 	1.54 	1.99 	2.37 	2.74 	3.4 	3.95 	4.72 	5 	4.67 	3.7 	2.51 	1.42 	0.72 	0 	
